uid,n_hit,alphaHmul2010,alphaHmul2019,chi,epsilonHmul2010,epsilonHmul2019,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiHmul2010,phiHmul2019,phiS,pR,pT,rho,sageA15,sigma,theta,thetamul,trmul,zeta
c39c04196ea40bafa7144b494654c82b,24,0.207572068,0.206939292,0.15260288,0.358290132,0.590148723,0.770585176,0.895690943,0.919947528,0.997920648,0.421073824,0.197795938,1.495235908,0.136719537,0.006693095,0.055110088,0.003822804,0.963104645,0.278788796,2.245991551,1.662794397,0.045375985,0.620304995,0.000723249,0.012825676,0.48476602,0.001093516,0.110096214,33.26739279,1.293916733,1.8487062
9e21f5f45faa9aafe0064800a0de047c,24,0.224173031,0.15184757,0.154869379,0.278184497,0.661760227,0.76162324,0.904987398,0.955345733,0.949550902,0.380068943,0.190362714,1.56665246,0.134884227,0.006658199,0.057759648,0.003132015,0.965918202,0.265372211,2.35349948,1.601392024,0.044907124,0.619753169,0.000671683,0.014168393,0.505070961,0.001108174,0.1092789,33.08257944,1.322114554,1.803006209
b3f1c0f45a1e05d767289b31cf9e1d36,24,0.212043502,0.149064699,0.155208167,0.286817868,0.654048543,0.754130773,0.900820869,0.951331167,0.941266579,0.380947007,0.18866797,1.568578978,0.135012077,0.006724538,0.057683334,0.003127881,0.981442812,0.264443084,2.354599535,1.620445579,0.044941298,0.619800299,0.000687543,0.013377326,0.503297105,0.00109822,0.109491016,32.96126072,1.320795677,1.958324605
6b00b39039a2dd2b853be08d0f165002,24,0.237045704,0.152493843,0.149265995,0.290727345,0.630994516,0.752395218,0.857479107,0.975674933,0.990945734,0.422117451,0.201762503,1.413390783,0.135734034,0.006908392,0.057175005,0.003816222,1.054308489,0.272985306,2.354130439,1.429176266,0.044756977,0.618136236,0.000718737,0.011696718,0.525434303,0.001084394,0.109648578,33.40516443,1.238228695,1.228680258
114d0ffb4ec21541f8c93dd16f8f22f3,24,0.230928621,0.217308229,0.158057558,0.267646772,0.567769527,0.797616073,0.866535525,0.942278641,0.969874986,0.422796694,0.196383294,1.538473207,0.136871528,0.006595156,0.055550078,0.004027587,0.995525965,0.269431121,2.329588753,1.596051919,0.04494538,0.618419092,0.00070876,0.014010665,0.503669652,0.001096909,0.110399249,33.91543065,1.260837971,1.825589318
114d0ffb4ec21541f8c93dd16f8f22f3,24,0.230928621,0.217308229,0.158057558,0.267646772,0.567769527,0.797616073,0.866535525,0.942278641,0.969874986,0.422796694,0.196383294,1.538473207,0.136871528,0.006595156,0.055550078,0.004027587,0.995525965,0.269431121,2.329588753,1.596051919,0.04494538,0.618419092,0.00070876,0.014010665,0.503669652,0.001096909,0.110399249,33.91543065,1.260837971,1.825589318
114d0ffb4ec21541f8c93dd16f8f22f3,24,0.230928621,0.217308229,0.158057558,0.267646772,0.567769527,0.797616073,0.866535525,0.942278641,0.969874986,0.422796694,0.196383294,1.538473207,0.136871528,0.006595156,0.055550078,0.004027587,0.995525965,0.269431121,2.329588753,1.596051919,0.04494538,0.618419092,0.00070876,0.014010665,0.503669652,0.001096909,0.110399249,33.91543065,1.260837971,1.825589318
f60f054279d469662fb0447f05e282f1,25,0.226668566,0.236788004,0.156485888,0.271376015,0.577007919,0.802075394,0.8775088,0.934307553,0.985165638,0.406680533,0.199732478,1.52943765,0.135631811,0.00673296,0.055859888,0.004142697,0.992373463,0.269379104,2.284369228,1.535248685,0.045202893,0.620170202,0.000712882,0.014369015,0.492431861,0.001099427,0.110139787,33.86293775,1.275245444,1.830770131
cc0a98ae30b0fecee7ef3c87714d1426,24,0.219161828,0.223623567,0.156441834,0.266836423,0.621289616,0.778173276,0.876124737,0.946658131,0.975236562,0.401230206,0.194729101,1.530132337,0.136349046,0.006668024,0.055346954,0.003638047,0.970160645,0.274136328,2.279104599,1.624336599,0.044894061,0.621769969,0.000723806,0.01295854,0.506569742,0.001094665,0.109521495,33.52244779,1.288327233,1.731297084
c39c04196ea40bafa7144b494654c82b,24,0.207572068,0.206939292,0.15260288,0.358290132,0.590148723,0.770585176,0.895690943,0.919947528,0.997920648,0.421073824,0.197795938,1.495235908,0.136719537,0.006693095,0.055110088,0.003822804,0.963104645,0.278788796,2.245991551,1.662794397,0.045375985,0.620304995,0.000723249,0.012825676,0.48476602,0.001093516,0.110096214,33.26739279,1.293916733,1.8487062
9e21f5f45faa9aafe0064800a0de047c,24,0.224173031,0.15184757,0.154869379,0.278184497,0.661760227,0.76162324,0.904987398,0.955345733,0.949550902,0.380068943,0.190362714,1.56665246,0.134884227,0.006658199,0.057759648,0.003132015,0.965918202,0.265372211,2.35349948,1.601392024,0.044907124,0.619753169,0.000671683,0.014168393,0.505070961,0.001108174,0.1092789,33.08257944,1.322114554,1.803006209
b3f1c0f45a1e05d767289b31cf9e1d36,24,0.212043502,0.149064699,0.155208167,0.286817868,0.654048543,0.754130773,0.900820869,0.951331167,0.941266579,0.380947007,0.18866797,1.568578978,0.135012077,0.006724538,0.057683334,0.003127881,0.981442812,0.264443084,2.354599535,1.620445579,0.044941298,0.619800299,0.000687543,0.013377326,0.503297105,0.00109822,0.109491016,32.96126072,1.320795677,1.958324605
6b00b39039a2dd2b853be08d0f165002,24,0.237045704,0.152493843,0.149265995,0.290727345,0.630994516,0.752395218,0.857479107,0.975674933,0.990945734,0.422117451,0.201762503,1.413390783,0.135734034,0.006908392,0.057175005,0.003816222,1.054308489,0.272985306,2.354130439,1.429176266,0.044756977,0.618136236,0.000718737,0.011696718,0.525434303,0.001084394,0.109648578,33.40516443,1.238228695,1.228680258
