uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
75d3656301ac5141bff953e30b8348c2,34,4.312944067,1.56212447,2.153983239,0.348063693,1.37682498,26.34736987,0.108234083,0.250975457,0.95633251,0.4978424,0.950817633,0.95992216,0.930497434,0.951707223,0.08110888,1.172775997,0.156235031,0.006648902,0.055594722,0.013512933,0.980786764,0.385549476,1.198351122,1.876893438,0.046396619,0.601839674,0.000728586,0.003897069,0.94761121,0.001105176,0.78399847,0.110654733,0.458371967
5b3b9c95d5e8a811f1dbf7129602d678,34,4.323755751,1.562257106,2.147619557,0.341198454,1.371699664,26.31415451,0.108072042,0.246779456,0.966794359,0.501139734,0.948623571,0.95848601,0.929609724,0.954058896,0.081574363,1.1764935,0.155525414,0.006675847,0.055249675,0.013553102,0.984840464,0.384588997,1.206303097,1.896469675,0.046337786,0.602462071,0.00072338,0.003643704,0.948923937,0.001104615,0.788722798,0.110660819,0.424153244
65e57020d767ed71deacc36a8b46bc47,34,4.322353985,1.585573473,2.13973588,0.333423306,1.363092607,26.23883099,0.108134093,0.218164656,0.952432023,0.500313454,0.953161368,0.95678321,0.933648364,0.951884162,0.082281182,1.173263955,0.155008345,0.006683729,0.056732683,0.013761097,0.987160547,0.373224809,1.231193466,1.90438149,0.046280214,0.603212356,0.000713109,0.003424403,0.943787481,0.001110513,0.78746231,0.110275554,0.433570586
fae900611b2a2d6f5289299ddcd6e2ee,34,4.299956191,1.574104115,2.154170664,0.332858328,1.352487806,26.40327779,0.107728987,0.219996878,0.954987027,0.499603124,0.959933124,0.960162386,0.936489675,0.949083245,0.082045685,1.167737727,0.155194497,0.006683873,0.055473215,0.013821625,0.992809137,0.374599917,1.213210036,1.89580009,0.046199212,0.601880378,0.000706622,0.003392131,0.941144265,0.001107018,0.780691834,0.110229551,0.401179462
9b0b6231a985e49fd5d67b878c96a943,34,4.297819175,1.566559343,2.13861238,0.345433649,1.356754368,26.40877833,0.107702133,0.219440159,0.960243199,0.498526072,0.952658626,0.961959916,0.940537103,0.947777205,0.082371258,1.15829768,0.155559636,0.006712185,0.055054221,0.013922536,1.005845074,0.377051391,1.205553153,1.894618849,0.046115808,0.602662374,0.000710877,0.00294768,0.941492612,0.001106285,0.780969115,0.110351779,0.383657992
6e2d078631f14ea745d32bede528e58c,34,4.283180583,1.563815577,2.146891695,0.340587021,1.351017788,26.49965155,0.107812606,0.218039591,0.951427623,0.495569957,0.95364621,0.959111498,0.936971663,0.950149302,0.082893142,1.17266786,0.155826199,0.006730498,0.055232169,0.013851918,1.007451877,0.37926837,1.216975706,1.901347879,0.046184544,0.603444224,0.000703493,0.003027811,0.941198994,0.001109024,0.778426323,0.11023998,0.364404502
829d6938b19bdbb59ec8b085c180b688,34,4.268523861,1.568658586,2.147047822,0.329230224,1.359416762,26.57847821,0.108010086,0.22687431,0.950261128,0.494421559,0.951270681,0.960425887,0.933114299,0.949976578,0.082106671,1.155194345,0.155205258,0.006734243,0.056068548,0.013822066,1.005892554,0.378196332,1.200414282,1.909404248,0.046223293,0.602645519,0.000709075,0.00307719,0.940433922,0.001112994,0.779175051,0.110170716,0.379370028
a716d90a0429cecde4705d1d764f8a52,34,4.275579637,1.570929145,2.160552713,0.334081884,1.359262198,26.62548737,0.107946258,0.232141511,0.953321668,0.489851677,0.95125596,0.959882205,0.933653981,0.954564508,0.081612201,1.156252604,0.154825949,0.006760452,0.055793242,0.013800512,0.999709388,0.38097231,1.201963906,1.924242929,0.046152872,0.601940559,0.000696167,0.002763942,0.944380689,0.001112451,0.778770918,0.110118875,0.342093835
a7ecbab3dddb0bb98938d8d06f41dccf,34,4.280561711,1.566822083,2.158386712,0.338274123,1.3524754,26.7135864,0.107943518,0.221315876,0.949895617,0.489361989,0.950927592,0.960185627,0.934005509,0.956654758,0.080971566,1.163755492,0.15466553,0.006779294,0.055532306,0.01372122,0.994435572,0.379504106,1.209608725,1.911483637,0.046214392,0.602058397,0.000680552,0.002575896,0.947367316,0.001115104,0.78002713,0.110260898,0.316552742
d4cc5a3746530e436bfb195dc3a4552e,34,4.266542214,1.570859513,2.144753858,0.345092716,1.35563053,26.66181061,0.107878646,0.222900908,0.95656798,0.489322719,0.950905452,0.961602811,0.936816733,0.958934636,0.080375023,1.164369273,0.153996905,0.006804004,0.055591939,0.013720724,0.993481352,0.38310717,1.207705488,1.892450474,0.046239263,0.602933964,0.000698126,0.002683908,0.947987931,0.001113473,0.777766665,0.110181668,0.331316446
